rmp1
8.92E-05
9.06E-05
9.17E-05
9.24E-05
9.30E-05
9.30E-05
9.38E-05
9.46E-05
9.53E-05
9.55E-05
9.55E-05
9.63E-05
9.63E-05
9.66E-05
9.63E-05
9.71E-05
9.73E-05
9.76E-05
9.77E-05
9.75E-05
9.75E-05
9.76E-05
9.76E-05
9.83E-05
9.90E-05
9.88E-05
9.91E-05
9.91E-05
9.89E-05
9.91E-05
9.91E-05
9.95E-05
9.92E-05
9.98E-05
1.00E-04
1.00E-04
1.00E-04
1.00E-04
9.97E-05
1.00E-04
1.01E-04
1.00E-04
1.01E-04
1.01E-04
1.00E-04
1.01E-04
1.01E-04
1.00E-04
1.01E-04
1.01E-04
1.01E-04
1.01E-04
1.01E-04
1.01E-04
1.01E-04
1.01E-04
1.01E-04
1.02E-04
1.01E-04
1.02E-04
1.02E-04
1.02E-04
1.01E-04
1.01E-04
1.01E-04
1.02E-04
1.02E-04
1.02E-04
1.02E-04
1.02E-04
1.02E-04
1.03E-04
1.02E-04
1.02E-04
1.02E-04
1.02E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.02E-04
1.02E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.02E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
1.03E-04
