rmp1
1.02E-04
1.02E-04
1.01E-04
1.02E-04
1.02E-04
1.01E-04
1.01E-04
1.01E-04
1.00E-04
1.00E-04
1.00E-04
9.98E-05
9.97E-05
9.90E-05
9.85E-05
9.88E-05
9.82E-05
9.83E-05
9.85E-05
9.84E-05
9.85E-05
9.84E-05
9.82E-05
9.82E-05
9.78E-05
9.75E-05
9.75E-05
9.73E-05
9.73E-05
9.70E-05
9.66E-05
9.64E-05
9.65E-05
9.59E-05
9.62E-05
9.58E-05
9.59E-05
9.54E-05
9.54E-05
9.52E-05
9.50E-05
9.52E-05
9.53E-05
9.51E-05
9.48E-05
9.46E-05
9.44E-05
9.43E-05
9.39E-05
9.43E-05
9.40E-05
9.39E-05
9.38E-05
9.39E-05
9.34E-05
9.35E-05
9.38E-05
9.32E-05
9.34E-05
9.29E-05
9.30E-05
9.28E-05
9.30E-05
9.26E-05
9.27E-05
9.24E-05
9.24E-05
9.23E-05
9.24E-05
9.20E-05
9.16E-05
9.23E-05
9.20E-05
9.16E-05
9.18E-05
9.17E-05
9.14E-05
9.21E-05
9.15E-05
9.15E-05
9.16E-05
9.13E-05
9.16E-05
9.12E-05
9.13E-05
9.15E-05
9.10E-05
9.15E-05
9.09E-05
9.11E-05
9.14E-05
9.11E-05
9.10E-05
9.08E-05
9.04E-05
9.09E-05
9.11E-05
9.12E-05
9.05E-05
9.08E-05
